# Sound Match Picture — Replay Clip Timing Manifest
# Source: audio/adjectives-4.17.mp3
# Format: output filename | start second | duration second
01-big.mp3|8.30|1.80
02-small.mp3|11.45|1.75
03-old.mp3|14.50|1.70
04-new.mp3|16.95|1.75
05-fast.mp3|20.30|1.70
06-slow.mp3|23.55|1.60
07-beautiful.mp3|26.35|1.95
08-ugly.mp3|30.55|1.65
09-cheap.mp3|33.15|1.65
10-expensive.mp3|37.30|2.10
11-long.mp3|40.70|1.55
12-short.mp3|44.75|1.55
13-clean.mp3|48.85|1.60
14-dirty.mp3|52.05|1.55
15-easy.mp3|55.15|1.55
16-difficult.mp3|59.95|1.85
